x,y,col,result,local_minima,distance_to_minima,steps,converged
0.3627171205138282,4.982279675082029,6,4.468662915633803,1.8580176234378465e-9,1.2868699814159572,95,true
0.36271712051382865,1.6794008512525513,6,2.002415953357134,7.333705730720935e-11,1.7181242476023866,19,true
0.36271712051382865,0.36271712051382865,6,0.32993900852946323,3.576001647576099e-11,0.6546175963964779,1000,false
1.679400851252551,4.982279675082029,6,6.1411398604614735,1.8645069682127697e-9,2.0644998113120887,32,true
0.36271712051382865,3.002325662517039,6,0.881976632735477,3.573543023993597e-10,0.5211438729363683,22,true
3.002325662517039,4.982279675082029,6,5.020700539839817,1.864495689785084e-9,3.3267454940980454,21,true
4.982279675082028,4.982279675082029,6,8.607386822738142,3.6563458927219017e-9,1.698100262345039,12,true
3.0023256625170394,3.002325662517039,6,1.4340142569414898,6.419177411842725e-10,0.33861139293987397,8,true
1.6794008512525513,0.36271712051382865,6,2.002415953357134,7.333705730720935e-11,1.7181242476023866,19,true
1.6794008512525513,3.002325662517039,6,2.554453577563148,7.296960878501957e-11,3.527867706197742,16,true
3.0023256625170394,0.3627171205138291,6,0.8819766327354763,3.5735430760353015e-10,0.5211438729363685,22,true
3.0023256625170394,1.6794008512525513,6,2.554453577563147,7.296960878547739e-11,3.5278677061977426,16,true
4.982279675082028,0.3627171205138291,6,4.468662915633804,1.8580256014311125e-9,1.2868699814159672,51,true
4.982279675082028,3.002325662517039,6,5.020700539839817,1.8645117672022593e-9,3.326745494098047,21,true
4.982279675082028,1.6794008512525513,6,6.1411398604614735,1.863426241080505e-9,2.064499811312067,1000,false
1.6794008512525511,1.6794008512525513,6,3.674892898184805,7.333705724965472e-11,2.3750314610208503,12,true
